sponsor,tier,year,conference,is_bigtech,canonical_name
google,diamond,2022,naacl,True,alphabet
amazon,diamond,2022,naacl,True,amazon
liveperson,diamond,2022,naacl,False,NA
meta,diamond,2022,naacl,True,meta
bloomberg,diamond,2022,naacl,False,NA
apple,platinum,2022,naacl,True,apple
microsoft,platinum,2022,naacl,True,microsoft
megagon,platinum,2022,naacl,False,NA
grammarly,platinum,2022,naacl,False,NA
bytedance,platinum,2022,naacl,True,bytedance
kensho,platinum,2022,naacl,False,NA
reveal data,platinum,2022,naacl,False,NA
relativity,gold,2022,naacl,False,NA
servicenow,gold,2022,naacl,False,NA
tiaa,gold,2022,naacl,False,NA
ets,gold,2022,naacl,False,NA
cohere.ai,gold,2022,naacl,False,NA
g-research,gold,2022,naacl,False,NA
openai,gold,2022,naacl,True,openai
two sigma,gold,2022,naacl,False,NA
asapp,silver,2022,naacl,False,NA
duolingo,silver,2022,naacl,False,NA
magic data,silver,2022,naacl,False,NA
adobe,bronze,2022,naacl,False,NA
babelscape,bronze,2022,naacl,False,NA
human language technology center of excellence,bronze,2022,naacl,False,NA
linkedin,bronze,2022,naacl,True,microsoft
rakuten,bronze,2022,naacl,False,NA
uc santa cruz,bronze,2022,naacl,False,NA
aixplain,bronze,2022,naacl,False,NA
microsoft,diversity and inclusion,2022,naacl,True,microsoft
deepmind,diversity and inclusion,2022,naacl,True,alphabet
g-research,diversity and inclusion,2022,naacl,False,NA
activeloop,diamond,2022,neurips,False,NA
amazon science,diamond,2022,neurips,True,amazon
apple,diamond,2022,neurips,True,apple
astrazeneca,diamond,2022,neurips,False,NA
citadel enterprise americas lls,diamond,2022,neurips,False,NA
deepmind technologies ltd,diamond,2022,neurips,True,alphabet
google llc,diamond,2022,neurips,True,alphabet
g-research,diamond,2022,neurips,False,NA
jane street,diamond,2022,neurips,False,NA
"lambda, inc.",diamond,2022,neurips,False,NA
lg ai research,diamond,2022,neurips,False,NA
"meta platforms, inc.",diamond,2022,neurips,True,meta
qualcomm,diamond,2022,neurips,False,NA
salesforce,diamond,2022,neurips,False,NA
sony,diamond,2022,neurips,False,NA
bloomberg lp,platinum,2022,neurips,False,NA
borealis ai,platinum,2022,neurips,False,NA
"capital one services, llc.",platinum,2022,neurips,False,NA
cohere,platinum,2022,neurips,False,NA
d. e. shaw & co.,platinum,2022,neurips,False,NA
disney research,platinum,2022,neurips,False,NA
hudson river trading,platinum,2022,neurips,False,NA
ibm,platinum,2022,neurips,False,NA
king abdullah university of science and technology,platinum,2022,neurips,False,NA
lightning ai,platinum,2022,neurips,False,NA
mathworks,platinum,2022,neurips,False,NA
microsoft,platinum,2022,neurips,True,microsoft
naver,platinum,2022,neurips,False,NA
optum labs,platinum,2022,neurips,False,NA
pdt partners,platinum,2022,neurips,False,NA
point72 / cubist systematic strategies,platinum,2022,neurips,False,NA
spotify,platinum,2022,neurips,False,NA
squarepoint,platinum,2022,neurips,False,NA
tiktok,platinum,2022,neurips,True,bytedance
"two sigma investments, lp",platinum,2022,neurips,False,NA
waymo,platinum,2022,neurips,True,alphabet
"weights and biases, inc.",platinum,2022,neurips,False,NA
alibaba group,gold,2022,neurips,True,alibaba
bosch ai,gold,2022,neurips,False,NA
cerebras systems,gold,2022,neurips,False,NA
datumo,gold,2022,neurips,False,NA
generally intelligent,gold,2022,neurips,False,NA
hpc-ai technology llc,gold,2022,neurips,False,NA
ieee sa,gold,2022,neurips,False,NA
jasper ai,gold,2022,neurips,False,NA
jump trading,gold,2022,neurips,False,NA
mosaicml,gold,2022,neurips,True,databricks
nec laboratories america,gold,2022,neurips,False,NA
netflix,gold,2022,neurips,False,NA
